index_query	index_match	distance
247	668	0.114936
738	431	0.166736
318	156	0.0634608
353	836	0.115862
598	614	0.369791
669	454	0.0202829
354	546	0.145574
214	577	0.335395
459	636	0.294071
670	694	0.378484
530	282	0.0918045
671	721	0.0356656
356	287	0.332697
531	444	0.114105
461	60	0.0847785
322	569	0.121561
746	89	0.0356525
79	148	0.0639806
567	772	0.200238
462	609	0.256069
358	413	0.20318
80	77	0.174648
323	469	0.301785
218	531	0.0544951
284	409	0.0635723
7	228	0.0323115
749	432	0.17516
324	660	0.113635
751	293	0.0860425
779	446	0.069236
535	141	0.171113
325	5	0.27016
256	157	0.0350361
604	285	0.276587
144	127	0.200506
287	447	0.116158
754	248	0.337905
817	659	0.0452137
641	426	0.238937
755	495	0.186457
781	544	0.116503
756	504	0.183672
537	591	0.0645399
467	717	0.0818422
397	863	0.215585
258	295	0.55747
572	279	0.0952991
606	120	0.29263
11	760	0.0405902
222	585	0.0399918
819	33	0.167128
12	839	0.0497851
147	851	0.240816
712	869	0.139784
86	785	0.374759
13	38	0.0453501
260	425	0.143355
760	268	0.348557
608	463	0.0595363
330	493	0.27969
713	743	0.329589
14	616	0.204461
261	481	0.249565
179	172	0.0602597
540	604	0.100881
645	358	0.234217
292	92	0.056376
646	203	0.0687808
51	176	0.0432315
673	547	0.033921
16	310	0.235184
89	786	0.377741
763	593	0.0686987
404	347	0.241227
716	641	0.0322506
294	838	0.104785
675	715	0.0197559
764	595	0.0675097
423	245	0.0359482
787	298	0.0568654
152	512	0.190548
265	792	0.131604
406	529	0.0679708
183	55	0.0739484
825	15	0.184766
335	363	0.363029
407	638	0.254123
718	190	0.364741
579	689	0.298428
789	225	0.207807
678	726	0.101927
767	354	0.0607742
20	709	0.0584001
790	328	0.16707
426	41	0.241062
92	846	0.417986
116	212	0.0883583
651	711	0.0625196
117	246	0.101748
269	436	0.102398
298	216	0.378161
682	518	0.276711
411	149	0.0754437
158	153	0.382415
683	18	0.0566792
583	744	0.150795
299	94	0.041452
234	68	0.0280944
188	264	0.10763
830	23	0.197159
119	841	0.112481
549	750	0.0942703
159	476	0.243588
654	459	0.0547617
584	189	0.214087
342	277	0.103784
236	49	0.0339291
272	755	0.229322
655	704	0.0727016
686	375	0.261117
25	439	0.133186
551	781	0.143801
161	673	0.392925
656	362	0.256339
432	774	0.0684502
344	220	0.0903647
415	54	0.200748
98	76	0.0234298
689	352	0.314616
834	165	0.281241
511	0	0.399664
728	633	0.316363
554	620	0.0573083
99	450	0.319319
164	297	0.200612
588	97	0.128891
659	315	0.0594864
435	173	0.128823
691	374	0.163489
485	243	0.0484332
556	536	0.0382221
365	471	0.293641
731	319	0.38258
436	134	0.149391
590	639	0.0447247
418	675	0.289406
437	665	0.243206
800	429	0.169895
487	496	0.424495
592	207	0.0550782
514	790	0.268476
367	451	0.518956
279	359	0.0494262
625	147	0.137162
735	801	0.0727207
662	167	0.110923
244	86	0.0231186
663	868	0.0875878
128	392	0.0377407
281	621	0.0760211
594	696	0.0495532
351	302	0.153078
105	24	0.0377324
560	720	0.380296
491	230	0.0389883
52	400	0.0754989
699	125	0.183266
441	642	0.11029
193	445	0.173707
806	494	0.0751314
373	864	0.0651942
134	98	0.0597598
176	420	0.0789878
195	663	0.266388
526	724	0.171052
57	440	0.166165
375	757	0.170908
136	610	0.150746
446	594	0.239339
137	758	0.0379436
379	489	0.0732724
60	612	0.123499
451	870	0.0591983
199	862	0.425805
455	64	0.383163
201	316	0.392902
64	613	0.147421
65	625	0.0728789
69	808	0.173664
70	627	0.0778459
71	576	0.0599529
