index_query	index_match	distance
737	151	0.32424
807	830	0.0596989
352	62	0.0838439
667	568	0.0897566
247	668	0.114936
772	381	0.318316
738	431	0.166736
318	156	0.0634608
1	45	0.0538957
353	836	0.115862
74	387	0.0487979
563	66	0.27042
598	614	0.369791
669	454	0.0202829
354	546	0.145574
38	511	0.208338
214	577	0.335395
459	636	0.294071
774	698	0.293081
599	348	0.154239
670	694	0.378484
39	428	0.0917772
530	282	0.0918045
4	128	0.0757212
671	721	0.0356656
811	31	0.509948
356	287	0.332697
216	521	0.0922807
391	548	0.178859
531	444	0.114105
461	60	0.0847785
745	813	0.136778
322	569	0.121561
636	32	0.260151
746	89	0.0356525
79	148	0.0639806
567	772	0.200238
462	609	0.256069
358	413	0.20318
80	77	0.174648
323	469	0.301785
218	531	0.0544951
284	409	0.0635723
7	228	0.0323115
749	432	0.17516
324	660	0.113635
751	293	0.0860425
8	856	0.49911
779	446	0.069236
535	141	0.171113
325	5	0.27016
256	157	0.0350361
640	384	0.267145
604	285	0.276587
570	91	0.0633157
144	127	0.200506
287	447	0.116158
754	248	0.337905
817	659	0.0452137
396	756	0.423244
641	426	0.238937
220	649	0.101211
755	495	0.186457
781	544	0.116503
327	656	0.0342145
756	504	0.183672
495	438	0.0520419
10	337	0.407093
537	591	0.0645399
467	717	0.0818422
397	863	0.215585
221	140	0.0755606
258	295	0.55747
572	279	0.0952991
758	678	0.0862023
606	120	0.29263
11	760	0.0405902
222	585	0.0399918
819	33	0.167128
496	214	0.242012
12	839	0.0497851
147	851	0.240816
712	869	0.139784
177	652	0.128872
86	785	0.374759
13	38	0.0453501
260	425	0.143355
223	453	0.288121
760	268	0.348557
608	463	0.0595363
330	493	0.27969
713	743	0.329589
49	71	0.305526
14	616	0.204461
261	481	0.249565
179	172	0.0602597
540	604	0.100881
645	358	0.234217
292	92	0.056376
785	209	0.513902
646	203	0.0687808
51	176	0.0432315
673	547	0.033921
16	310	0.235184
227	415	0.149887
89	786	0.377741
763	593	0.0686987
786	410	0.239299
404	347	0.241227
716	641	0.0322506
112	623	0.255436
294	838	0.104785
675	715	0.0197559
764	595	0.0675097
423	245	0.0359482
473	377	0.215899
787	298	0.0568654
501	4	0.102103
152	512	0.190548
113	670	0.21562
265	792	0.131604
406	529	0.0679708
183	55	0.0739484
825	15	0.184766
335	363	0.363029
407	638	0.254123
425	342	0.0503441
718	190	0.364741
579	689	0.298428
789	225	0.207807
678	726	0.101927
826	635	0.0774843
580	205	0.138831
767	354	0.0607742
20	709	0.0584001
790	328	0.16707
426	41	0.241062
92	846	0.417986
116	212	0.0883583
651	711	0.0625196
117	246	0.101748
828	390	0.239706
269	436	0.102398
340	177	0.0584607
298	216	0.378161
233	124	0.0419699
682	518	0.276711
411	149	0.0754437
769	83	0.176413
158	153	0.382415
683	18	0.0566792
583	744	0.150795
616	332	0.143629
299	94	0.041452
234	68	0.0280944
188	264	0.10763
341	317	0.117692
271	181	0.0235321
507	8	0.214973
830	23	0.197159
770	394	0.30656
119	841	0.112481
549	750	0.0942703
159	476	0.243588
654	459	0.0547617
584	189	0.214087
342	277	0.103784
301	240	0.0380062
236	49	0.0339291
272	755	0.229322
160	154	0.0529305
655	704	0.0727016
686	375	0.261117
618	11	0.206811
25	439	0.133186
551	781	0.143801
161	673	0.392925
656	362	0.256339
432	774	0.0684502
344	220	0.0903647
415	54	0.200748
98	76	0.0234298
433	769	0.0898244
620	224	0.0410113
553	372	0.0752215
689	352	0.314616
834	165	0.281241
511	0	0.399664
728	633	0.316363
554	620	0.0573083
99	450	0.319319
29	587	0.0724494
164	297	0.200612
588	97	0.128891
555	338	0.0457937
659	315	0.0594864
435	173	0.128823
691	374	0.163489
835	650	0.339999
485	243	0.0484332
556	536	0.0382221
365	471	0.293641
731	319	0.38258
660	791	0.062962
799	448	0.0573074
436	134	0.149391
590	639	0.0447247
241	526	0.425333
418	675	0.289406
836	132	0.202722
624	679	0.316032
661	645	0.141803
437	665	0.243206
800	429	0.169895
487	496	0.424495
592	207	0.0550782
514	790	0.268476
243	138	0.0772539
367	451	0.518956
279	359	0.0494262
625	147	0.137162
309	93	0.290402
735	801	0.0727207
558	376	0.306059
662	167	0.110923
127	806	0.355046
244	86	0.0231186
593	196	0.286469
104	70	0.617291
663	868	0.0875878
128	392	0.0377407
281	621	0.0760211
802	188	0.158733
594	696	0.0495532
351	302	0.153078
105	24	0.0377324
560	720	0.380296
628	550	0.212592
171	80	0.0669334
803	844	0.608377
491	230	0.0389883
561	768	0.0649055
440	455	0.2009
52	400	0.0754989
699	125	0.183266
596	606	0.230906
441	642	0.11029
131	804	0.298629
805	556	0.0535938
315	817	0.0300939
442	304	0.0909715
193	445	0.173707
806	494	0.0751314
372	78	0.215116
373	864	0.0651942
524	331	0.062443
175	651	0.0572893
134	98	0.0597598
176	420	0.0789878
195	663	0.266388
526	724	0.171052
57	440	0.166165
375	757	0.170908
445	223	0.16262
136	610	0.150746
446	594	0.239339
137	758	0.0379436
197	688	0.277645
379	489	0.0732724
60	612	0.123499
451	870	0.0591983
61	336	0.250823
199	862	0.425805
453	829	0.0495443
385	17	0.292085
62	779	0.487997
455	64	0.383163
201	316	0.392902
64	613	0.147421
65	625	0.0728789
69	808	0.173664
70	627	0.0778459
71	576	0.0599529
